id,session_id,total_events,started_at,finished_at,inserted_at
1000020355740,1000000168753,1,2019-01-05 00:52:29.230000000,2019-01-05 00:52:29.230000000,2019-01-05 00:52:30.310000000
1000020355745,1000000167819,1,2019-01-05 00:52:29.590000000,2019-01-05 00:52:29.590000000,2019-01-05 00:52:30.258000000
1000020355746,1000000161946,2,2019-01-05 00:52:29.287000000,2019-01-05 00:52:29.525000000,2019-01-05 00:52:30.248000000
1000020355759,1000000156962,1,2019-01-05 00:52:31.730000000,2019-01-05 00:52:31.730000000,2019-01-05 00:52:35.186000000
1000020355764,1000000169092,1,2019-01-05 00:52:31.446000000,2019-01-05 00:52:31.446000000,2019-01-05 00:52:35.262000000
1000020355769,1000000164911,1,2019-01-05 00:52:32.165000000,2019-01-05 00:52:32.165000000,2019-01-05 00:52:35.350000000
1000020355774,1000000173033,1,2019-01-05 00:52:32.478000000,2019-01-05 00:52:32.478000000,2019-01-05 00:52:35.610000000
1000020355781,1000000173027,1,2019-01-05 00:52:32.606000000,2019-01-05 00:52:32.606000000,2019-01-05 00:52:35.279000000
1000020355782,1000000163926,1,2019-01-05 00:52:33.108000000,2019-01-05 00:52:33.108000000,2019-01-05 00:52:35.770000000
1000020355783,1000000174012,1,2019-01-05 00:52:33.244000000,2019-01-05 00:52:33.244000000,2019-01-05 00:52:35.197000000
1000020355786,1000000160994,1,2019-01-05 00:52:33.562000000,2019-01-05 00:52:33.562000000,2019-01-05 00:52:35.252000000
1000020355788,1000000156972,1,2019-01-05 00:52:33.631000000,2019-01-05 00:52:33.631000000,2019-01-05 00:52:35.198000000
1000020355789,1000000156974,1,2019-01-05 00:52:31.750000000,2019-01-05 00:52:31.750000000,2019-01-05 00:52:35.310000000
1000020355792,1000000164929,1,2019-01-05 00:52:33.868000000,2019-01-05 00:52:33.868000000,2019-01-05 00:52:35.640000000
1000020355799,1000000163902,1,2019-01-05 00:52:33.875000000,2019-01-05 00:52:33.875000000,2019-01-05 00:52:35.198000000
1000020355800,1000000165830,1,2019-01-05 00:52:34.584000000,2019-01-05 00:52:34.584000000,2019-01-05 00:52:35.222000000
1000020355802,1000000166952,1,2019-01-05 00:52:34.557000000,2019-01-05 00:52:34.557000000,2019-01-05 00:52:35.370000000
1000020355805,1000000172075,1,2019-01-05 00:52:34.544000000,2019-01-05 00:52:34.544000000,2019-01-05 00:52:35.192000000
1000020355807,1000000165882,1,2019-01-05 00:52:34.839000000,2019-01-05 00:52:34.839000000,2019-01-05 00:52:35.159000000
1000020355808,1000000164869,1,2019-01-05 00:52:34.832000000,2019-01-05 00:52:34.832000000,2019-01-05 00:52:35.410000000
1000020355809,1000000170017,1,2019-01-05 00:52:34.620000000,2019-01-05 00:52:34.620000000,2019-01-05 00:52:35.225000000
1000020355821,1000000175006,2,2019-01-05 00:52:33.133000000,2019-01-05 00:52:35.846000000,2019-01-05 00:52:40.680000000
1000020355827,1000000162988,1,2019-01-05 00:52:36.210000000,2019-01-05 00:52:36.210000000,2019-01-05 00:52:40.260000000
1000020355829,1000000170044,1,2019-01-05 00:52:36.277000000,2019-01-05 00:52:36.277000000,2019-01-05 00:52:40.252000000
1000020355843,1000000171058,1,2019-01-05 00:52:36.989000000,2019-01-05 00:52:36.989000000,2019-01-05 00:52:40.281000000
1000020355845,1000000166964,1,2019-01-05 00:52:37.550000000,2019-01-05 00:52:37.550000000,2019-01-05 00:52:40.253000000
1000020355850,1000000175007,1,2019-01-05 00:52:37.599000000,2019-01-05 00:52:37.599000000,2019-01-05 00:52:40.219000000
1000020355856,1000000165793,1,2019-01-05 00:52:38.181000000,2019-01-05 00:52:38.181000000,2019-01-05 00:52:40.263000000
1000020355857,1000000173030,1,2019-01-05 00:52:38.249000000,2019-01-05 00:52:38.249000000,2019-01-05 00:52:40.232000000
1000020355858,1000000170061,1,2019-01-05 00:52:38.113000000,2019-01-05 00:52:38.113000000,2019-01-05 00:52:40.232000000
1000020355867,1000000169073,4,2019-01-05 00:52:38.914000000,2019-01-05 00:52:45.127000000,2019-01-05 00:52:50.162000000
1000020355873,1000000160983,1,2019-01-05 00:52:39.554000000,2019-01-05 00:52:39.554000000,2019-01-05 00:52:40.234000000
1000020355881,1000000162994,1,2019-01-05 00:52:39.935000000,2019-01-05 00:52:39.935000000,2019-01-05 00:52:40.106000000
1000020355883,1000000165815,1,2019-01-05 00:52:40.230000000,2019-01-05 00:52:40.230000000,2019-01-05 00:52:45.188000000
1000020355884,1000000164925,1,2019-01-05 00:52:40.387000000,2019-01-05 00:52:40.387000000,2019-01-05 00:52:45.910000000
1000020355885,1000000165823,1,2019-01-05 00:52:40.407000000,2019-01-05 00:52:40.407000000,2019-01-05 00:52:45.600000000
1000020355886,1000000170092,2,2019-01-05 00:52:37.653000000,2019-01-05 00:52:40.297000000,2019-01-05 00:52:45.650000000
1000020355889,1000000156933,1,2019-01-05 00:52:40.418000000,2019-01-05 00:52:40.418000000,2019-01-05 00:52:45.161000000
1000020355900,1000000165842,1,2019-01-05 00:52:41.270000000,2019-01-05 00:52:41.270000000,2019-01-05 00:52:45.246000000
1000020355905,1000000163959,1,2019-01-05 00:52:41.642000000,2019-01-05 00:52:41.642000000,2019-01-05 00:52:45.107000000
1000020355908,1000000169055,1,2019-01-05 00:52:41.889000000,2019-01-05 00:52:41.889000000,2019-01-05 00:52:45.930000000
1000020355909,1000000167830,1,2019-01-05 00:52:41.907000000,2019-01-05 00:52:41.907000000,2019-01-05 00:52:45.620000000
1000020355911,1000000170088,1,2019-01-05 00:52:42.487000000,2019-01-05 00:52:42.487000000,2019-01-05 00:52:45.124000000
